date,score,city,comment,nick
2018-08-13,4,东莞,一笑而过，深度不够,Callmealex
2018-08-13,5,无锡,好看！现实生活中为什么没有脂肪险,Begonia_
2018-08-13,5,盐城,好看的笑死  特别搞笑,何庸人
2018-08-13,5,常德,不错不错不错,神不咙灯
2018-08-13,4,张家港,很搞笑，抨击社会上一些负面现象，大笑的同时也引人深思。,nancy821172098
2018-08-13,4.5,青岛,一夜暴富，没错，这也是我做梦也想发生在自己身上的事情，搞笑与搞怪齐飞的情节真的笑到爆炸，我大抵也是个肤浅之人，感慨不出你暗喻的大道理，但愉悦了我的心情。我很开心，这应该也是你想要的效果之一。希望我也可以一夜暴富。晚安！,BTS_Imarmy
2018-08-13,4,上海,沈腾我还是很喜欢的！蛮放松的一部戏,mika1127
2018-08-13,5,铁岭,一部重从头笑到尾的电影,蜗牛向钱冲吧
2018-08-13,5,湛江,今年国产的电影也只有这个有看点了,jqy372397007
2018-08-13,4,吉林,感觉很搞笑，距离开场十分钟以后才去的。也都看的挺开心的，我能也存在一些人生的哲学在里边。不是每个有钱的人都会视金钱如粪土的。也不是所有人都觉得金钱是万能的。但平常人都会觉得金钱没有的话是万万不能。从前的百万富翁，现在也不觉得怎么样了。可能房子的价钱太高了，而大家的工资大多数都太一般了。什么时候才能得到？一个亿或者是十个亿呢？可能有些人穷尽一生呢？很多关于每个月4000和5000的工资是怎么活的文章。看完你只是有些许的感触，但是却不为给你的工资带来什么提升。希望大家都能在平淡中得到幸福吧！希望自己不会被金钱所困扰。,袁小滴溜圆
2018-08-13,5,郑州,笑点很多，不管模仿别人的不模仿，我以前没看过。,z1181155913
2018-08-13,4,昆山,还行，感觉有点瞎扯,BIQ591704308
2018-08-13,4,如皋,还可以吧没什么新意,yud904902291
2018-08-13,5,淄博,特别搞笑，特别好看,安婧颖
2018-08-13,1,青岛,这评分都是刷的，没几个笑点的电影，根本不值得看,RainbowDegrees
2018-08-13,5,济南,挺搞笑的，开心麻花确实不错。,宝的美团
2018-08-13,5,天津,超级棒  超级好笑,TPA835857831
2018-08-13,4,南京,没有之前几部好看，可能是审美疲劳了。,请叫我大叔607
2018-08-13,5,广汉,特别搞笑，特别好看,小小小琳二
2018-08-13,4,北京,一般，继续努力,X刘小淘
2018-08-13,5,新郑,好看，好看，好看,baby_小洋人
2018-08-13,3,邳州,热！特别热   汗蒸！,kWF249695344
2018-08-13,5,荆门,很不错，和喜欢的人一起去看的,她说、、h
2018-08-13,5,怀化,喜剧，轻松愉悦。,Iuy520151291
2018-08-13,5,南京,还可以，表演还可以,ENM176787596
2018-08-13,4,天津,还不错，就笑点，也有感人之处，就是有些故事情节好牵强，看个热闹,梦飞依恋
2018-08-13,4,博白县,很搞笑，但是就是短了点,轻陳Ing
2018-08-13,4.5,北海,好看，意外收获是被王力宏的声音迷住了,uej684091172
2018-08-13,3.5,沈阳,胡编乱造，虽然搞笑，却不真实，有点讽刺。,沈城大馋猫
2018-08-13,4.5,葫芦岛,这是一部很爆笑的喜剧，每个人都有梦想。大部分人的梦想是和钱挂钩的，然后做为一个月花光十个亿，确实是很多人的白日梦，影片充分的把这种梦想给表达在了荧幕上，所以才会那么的有好评。,zCf307719544
2018-08-13,4.5,合肥,搞笑，好看，棒棒哒,Fannie726
2018-08-13,5,运城,很好看，搞笑极了,xuheng47895
2018-08-13,5,定远县,真的很好看呦,enx357094847
2018-08-13,4,重庆,笑点蛮多，，,sjx8135
2018-08-13,5,郑州,好看配乐好听,BNL358172989
2018-08-13,5,临沧,不错，好看呢。,IpJ440323232
2018-08-13,4,上海,一般般，有点夸张,PVN155374476
2018-08-13,4,芜湖,有笑，但是相对来说没有羞羞的铁拳笑点多，女主的口音很出戏，而且真的不适合这喜剧,anu848246448
2018-08-13,5,攀枝花,很喜欢。特别好看,爱吃喵的大鱼
2018-08-13,4.5,北京,挺搞笑的，一直笑到结束,舞若颜
2018-08-13,4.5,遵义,我觉得电影想体现的应该是“夕阳红是首富”吧！！,遵义疯子
2018-08-13,4.5,无锡,虽然不少情节不合理，但还是蛮搞笑的,rtx229553341
2018-08-13,4,成都,是不是我的期望值太高了点，总觉得没有之前看的那两部好呢？,tEa450411881
2018-08-13,4.5,德阳,笑就行了 虽然有些抄袭,YuXinXin98
2018-08-13,5,拉萨,狠狠很好看~,孜孜635
2018-08-13,4.5,深圳,很好笑，真的还可以,Antewu
2018-08-13,5,长春,可以说超乎预期的搞笑以及稀饭，虽然里面男主一直样子土土，但还是掩盖不了那么多的小点以及人性劣点，有深度但却不沉重，而且不荒诞浮夸这是最好的。现在很多的片子都拍的无厘头，看完都觉的不可理喻，这种就比较接地气，知道要表述什么，也知道在抨击什么。赞。,myJ838220152
2018-08-13,5,临沂,完美 很搞笑。,yu为美食狂
2018-08-13,5,重庆,还不错，挺好的,IrL18725647861
2018-08-13,3.5,佛山,电影整体不错，就是烂俗梗太多很尴尬很掉价，可能适合那些平时看电影比较少的人。,握了根草草
2018-08-13,4,银川,还行吧，比夏洛特烦恼，羞羞的铁拳差点，不知道是不是少了马丽和艾伦的助阵（艾伦就是客串了一下）,rvh497489308
2018-08-13,5,上海,给我10个亿我真不知咋花,天天饺子馆
2018-08-13,4.5,商丘,好看，巨完美,故事太短867
2018-08-13,4,铜仁,很喜欢   别别别,LAY790
2018-08-13,4.5,兰州,超级好看，有钱人的生活真好！,娃娃屋291
2018-08-13,5,溧水区,搞笑，是开心麻花一贯的风格，搞笑的同时还有教育意义的，不能为了金钱没有了人性,小米粥z_m
2018-08-13,5,阜阳,很好看，沈腾演的必须来看,TPs131224483
2018-08-13,5,大同,笑点不断且连贯,nSM655932485
2018-08-13,4.5,上海,"挺有反思意义的。
烦恼谁都有。有钱人也一样。甚至更无解。",RDh13391118701
2018-08-13,5,杭州,非常搞笑  推荐,小妞cyj
2018-08-13,5,日喀则,全场都是笑点,DDZLG
2018-08-13,4,上海,沈腾我还是很喜欢的！蛮放松的一部戏,mika1127
2018-08-13,5,铁岭,一部重从头笑到尾的电影,蜗牛向钱冲吧
2018-08-13,5,湛江,今年国产的电影也只有这个有看点了,jqy372397007
2018-08-13,4,吉林,感觉很搞笑，距离开场十分钟以后才去的。也都看的挺开心的，我能也存在一些人生的哲学在里边。不是每个有钱的人都会视金钱如粪土的。也不是所有人都觉得金钱是万能的。但平常人都会觉得金钱没有的话是万万不能。从前的百万富翁，现在也不觉得怎么样了。可能房子的价钱太高了，而大家的工资大多数都太一般了。什么时候才能得到？一个亿或者是十个亿呢？可能有些人穷尽一生呢？很多关于每个月4000和5000的工资是怎么活的文章。看完你只是有些许的感触，但是却不为给你的工资带来什么提升。希望大家都能在平淡中得到幸福吧！希望自己不会被金钱所困扰。,袁小滴溜圆
2018-08-13,5,郑州,笑点很多，不管模仿别人的不模仿，我以前没看过。,z1181155913
2018-08-13,4,昆山,还行，感觉有点瞎扯,BIQ591704308
2018-08-13,4,如皋,还可以吧没什么新意,yud904902291
2018-08-13,5,淄博,特别搞笑，特别好看,安婧颖
2018-08-13,1,青岛,这评分都是刷的，没几个笑点的电影，根本不值得看,RainbowDegrees
2018-08-13,5,济南,挺搞笑的，开心麻花确实不错。,宝的美团
2018-08-13,5,长沙,全程笑到尾。,R。。。天舒
2018-08-13,5,西安,有沈腾的必火🔥,LjrrrX337
2018-08-13,4,信阳,好看挺有意思的,可爱的薛之谦啊
2018-08-13,5,宣威,看得我都膨胀了,范范范守文
2018-08-13,4.5,呼和浩特,不错，内涵很深，也很好笑,孩子气的我们
